num,titulo,compositor,key_concert,modula,compasso,densidade,dificuldade,forma,celulas,requisitos,verificada
1,Até Amanhã,Noel Rosa,Eb,,2/4,média,4,A/B,C1 C2,síncope;casas-1-2,True
2,Com Que Roupa,Noel Rosa,F,,2/4,média-alta,5,intro/A/B,C1 C2,tonalidade-1-sustenido;cromatismo-passagem;casas,True
3,Feitiço da Vila,Noel Rosa / Vadico,Eb,,2/4,média-alta,5,A/B,C1 C2,colcheias-densas;cromatismo-leve;casa-1,True
4,Fita Amarela,Noel Rosa,Ab,,2/4,média,4,A/B,C1 C7,tonalidade-2-bemóis;intro-7c;casas,True
5,Acontece,Cartola,C,,4/4,média,4,A/B/C,C1 C5,tonalidade-2-sustenidos;tercina,True
6,As Rosas Não Falam,Cartola,Eb,,2/4,média,4,A/B/C/D,C1 C5,forma-longa-ABCD;tercina;cromatismo-passagem,True
7,Corra e Olhe o Céu,Cartola,Db,,2/4,média-alta,6,A/B,C1 C2,tonalidade-3-bemóis;cromatismo-passagem;colcheias-densas;forma-longa,True
8,O Mundo é um Moinho,Cartola,C,,4/4,média-alta,5,A/B/C/D,C1 C5,tonalidade-2-sustenidos;tercina;forma-longa-ABCD;cromatismo,True
9,O Sol Nascerá,Cartola / Elton Medeiros,Eb,,2/4,baixa,3,A/B,C1 C2 C5,frases-curtas;tercina-leve-secao-B,True
10,Peito Vazio,Cartola / Elton Medeiros,F,,2/4,média-alta,5,intro/A/B,C1 C5 C2,tonalidade-1-sustenido;tercina;forma-longa,True
11,Preciso Me Encontrar,Candeia,F,,2/4,média-alta,5,A/B,C1 C2 C5,tonalidade-1-sustenido;síncope;tercina,True
12,Tive Sim,Cartola,F,,2/4,alta,6,A/B,C1 C2,forma-longa;colcheias-densas;síncope,True
13,A Flor e o Espinho,Nelson Cavaquinho / Guilherme de Brito / Alcides Caminha,F,,2/4,alta,7,A/B/C,C1 C2 C4,semicolcheias;cromatismo-denso;forma-larga,True
