num,titulo,paginas,fifths_omr,concerto_implicito,key_concert_cat,fifths_esperado,armadura_ok,compasso_omr,n_notas,n_compassos
4,Cariñito,1,2,C,,,—,4/4,89,20
5,Llorando se Fue,2,,?,,,—,4/4,456,64
6,Danza de los Mirlos,2,2,C,,,—,4/4,581,49
7,La Danza del Petrolero,1,3,G,,,—,4/4,224,25
8,Cumbia Sobre el Mar,1,1,F,,,—,4/4,124,38
9,El Diablo,2,1,F,,,—,4/4,545,56
10,Constelación,2,,?,,,—,2/4,214,50
11,Elsa,1,2,C,,,—,4/4,114,22
12,Cumbia da Praia,1,1,F,,,—,2/4,162,47
13,Cumbia del Desierto,1,,?,,,—,?,167,49
14,Lobos al Escape,1,2,C,,,—,2/4,123,66
15,Baião do Deserto,1,3,G,,,—,2/4,121,50
16,Ya se ha Muerto mi Abuelo,1,1,F,,,—,2/4,211,63
17,Yekermo Sew,1,,?,,,—,?,117,38
